Nr;Afd.;Aanvang;Thuis;Uit;Zwembad;Scheidsrechters;
5478;D1.H3  ;03-10-2010 20:45;Ritola Z & PC, 3         ;FZC`54, 1         ;Zuidlaren                           (Aqualaren                          );,  ;
5481;D1.H3  ;09-10-2010 18:15;WSG DraGor, 4         ;Ritola Z & PC, 3         ;Drachten                            (De Welle                           );,  ;
5490;D1.H3  ;17-10-2010 20:00;Ritola Z & PC, 3         ;De Walvisch, 3         ;Zuidlaren                           (Aqualaren                          );,  ;
5498;D1.H3  ;31-10-2010 16:15;ZPC Stadskanaal, 2         ;Ritola Z & PC, 3         ;Stadskanaal                         (Zwembad Pagecentrum                );,  ;
5504;D1.H3  ;07-11-2010 19:15;Ritola Z & PC, 3         ;De Spatters, 2         ;Zuidlaren                           (Aqualaren                          );,  ;
5509;D1.H3  ;14-11-2010 18:45;SGHA, 5         ;Ritola Z & PC, 3         ;Joure                               (De Stiennen Flier                  );,  ;
5515;D1.H3  ;21-11-2010 19:15;Moby Dick, 1         ;Ritola Z & PC, 3         ;Coevorden                           (de Swaneburg                       );,  ;
5520;D1.H3  ;28-11-2010 20:45;Ritola Z & PC, 3         ;GZVW, 2         ;Zuidlaren                           (Aqualaren                          );,  ;
5524;D1.H3  ;08-01-2011 17:00;SG Middelsé-Skelp, 2         ;Ritola Z & PC, 3         ;Stiens                              (It Gryn                            );,  ;
5535;D1.H3  ;16-01-2011 19:15;Ritola Z & PC, 3         ;ZPC Bolsward, 2         ;Zuidlaren                           (Aqualaren                          );,  ;
5540;D1.H3  ;23-01-2011 15:30;ZEPTA, 1         ;Ritola Z & PC, 3         ;Winschoten                          (De Watertoren                      );,  ;
5545;D1.H3  ;05-02-2011 19:45;FZC`54, 1         ;Ritola Z & PC, 3         ;Franeker                            (Bloemketerp                        );,  ;
5553;D1.H3  ;13-02-2011 19:15;Ritola Z & PC, 3         ;WSG DraGor, 4         ;Zuidlaren                           (Aqualaren                          );,  ;
5554;D1.H3  ;19-02-2011 15:45;De Walvisch, 3         ;Ritola Z & PC, 3         ;Groningen                           (De Parrel                          );,  ;
5561;D1.H3  ;27-02-2011 20:45;Ritola Z & PC, 3         ;ZPC Stadskanaal, 2         ;Zuidlaren                           (Aqualaren                          );,  ;
5566;D1.H3  ;13-03-2011 14:30;De Spatters, 2         ;Ritola Z & PC, 3         ;Beilen                              (De Peppel                          );,  ;
5574;D1.H3  ;20-03-2011 20:00;Ritola Z & PC, 3         ;SGHA, 5         ;Zuidlaren                           (Aqualaren                          );,  ;
5580;D1.H3  ;27-03-2011 19:15;Ritola Z & PC, 3         ;Moby Dick, 1         ;Zuidlaren                           (Aqualaren                          );,  ;
5586;D1.H3  ;03-04-2011 16:15;GZVW, 2         ;Ritola Z & PC, 3         ;Winschoten                          (De Watertoren                      );,  ;
5592;D1.H3  ;10-04-2011 20:00;Ritola Z & PC, 3         ;SG Middelsé-Skelp, 2         ;Zuidlaren                           (Aqualaren                          );,  ;
5594;D1.H3  ;16-04-2011 18:00;ZPC Bolsward, 2         ;Ritola Z & PC, 3         ;Bolsward                            (Vitalo  sportfondsenbad            );,  ;
5603;D1.H3  ;24-04-2011 20:00;Ritola Z & PC, 3         ;ZEPTA, 1         ;Zuidlaren                           (Aqualaren                          );,  ;
