Nr;Afd.;Aanvang;Thuis;Uit;Zwembad;Scheidsrechters;
6202;D1.DG2C;03-10-2010 14:00;Ritola Z & PC, DG 1      ;ZPC bikkel Hoogeveen, DG 1      ;Stadskanaal                         (Zwembad Pagecentrum                );,  ;
6206;D1.DG2C;03-10-2010 14:00;ZPC Stadskanaal, DG 1      ;Ritola Z & PC, DG 1      ;Stadskanaal                         (Zwembad Pagecentrum                );,  ;
6210;D1.DG2C;06-11-2010 14:45;Ritola Z & PC, DG 1      ;Eemsrobben, DG 1      ;Hoogeveen                           (De Dolfijn                         );,  ;
6211;D1.DG2C;06-11-2010 15:15;Ritola Z & PC, DG 1      ;ZPC bikkel Hoogeveen, DG 2      ;Hoogeveen                           (De Dolfijn                         );,  ;
6214;D1.DG2C;06-11-2010 15:45;Aqua`68, DG 1      ;Ritola Z & PC, DG 1      ;Hoogeveen                           (De Dolfijn                         );,  ;
6217;D1.DG2C;08-01-2011 17:30;ZPC bikkel Hoogeveen, DG 2      ;Ritola Z & PC, DG 1      ;Assen                               (De Bonte Wever - Assen             );,  ;
6218;D1.DG2C;08-01-2011 17:30;Ritola Z & PC, DG 1      ;Aqua`68, DG 1      ;Assen                               (De Bonte Wever - Assen             );,  ;
6222;D1.DG2C;08-01-2011 17:30;Eemsrobben, DG 1      ;Ritola Z & PC, DG 1      ;Assen                               (De Bonte Wever - Assen             );,  ;
6226;D1.DG2C;06-02-2011 00:00;Ritola Z & PC, DG 1      ;ZPC Stadskanaal, DG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
6228;D1.DG2C;06-02-2011 00:00;ZPC bikkel Hoogeveen, DG 1      ;Ritola Z & PC, DG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
6232;D1.DG2C;13-03-2011 13:00;Ritola Z & PC, DG 1      ;ZPC bikkel Hoogeveen, DG 1      ;Delfzijl                            (Dubbelslag                         );,  ;
6235;D1.DG2C;13-03-2011 14:15;ZPC Stadskanaal, DG 1      ;Ritola Z & PC, DG 1      ;Delfzijl                            (Dubbelslag                         );,  ;
6240;D1.DG2C;02-04-2011 14:45;Ritola Z & PC, DG 1      ;Eemsrobben, DG 1      ;Hoogeveen                           (De Dolfijn                         );,  ;
6241;D1.DG2C;02-04-2011 15:15;Ritola Z & PC, DG 1      ;ZPC bikkel Hoogeveen, DG 2      ;Hoogeveen                           (De Dolfijn                         );,  ;
6244;D1.DG2C;02-04-2011 15:45;Aqua`68, DG 1      ;Ritola Z & PC, DG 1      ;Hoogeveen                           (De Dolfijn                         );,  ;
