Nr;Afd.;Aanvang;Thuis;Uit;Zwembad
6872;D1.H3;02-10-11 18:45;SG ZPCA-De Pinquin 1;Ritola Z & PC 3;Dubbelslag (Delfzijl );,  ;
6878;D1.H3;09-10-11 18:30;Ritola Z & PC 3;GZVW 2;Aqualaren (Zuidlaren );,  ;
6881;D1.H3;15-10-11 19:45;FZC`54 1;Ritola Z & PC 3;Bloemketerp (Franeker );,  ;
6891;D1.H3;30-10-11 20:00;Ritola Z & PC 3;ZPC Stadskanaal 2;Aqualaren (Zuidlaren );,  ;
6892;D1.H3;05-11-11 17:00;SG Middelsé-Skelp 2;Ritola Z & PC 3;It Gryn (Stiens );,  ;
6902;D1.H3;13-11-11 18:30;Ritola Z & PC 3;WSG DraGor 3;Aqualaren (Zuidlaren );,  ;
6907;D1.H3;19-11-11 21:15;WSG DraGor 4;Ritola Z & PC 3;De Welle (Drachten );,  ;
6915;D1.H3;27-11-11 18:30;Ritola Z & PC 3;ZPC Bolsward 2;Aqualaren (Zuidlaren );,  ;
6917;D1.H3;03-12-11 18:30;Moby Dick 1;Ritola Z & PC 3;de Swaneburg (Coevorden );,  ;
6927;D1.H3;11-12-11 18:30;Ritola Z & PC 3;De Granaet 2;Aqualaren (Zuidlaren );,  ;
6934;D1.H3;15-01-12 19:15;Ritola Z & PC 3;ZEPTA 1;Aqualaren (Zuidlaren );,  ;
6940;D1.H3;05-02-12 19:15;Ritola Z & PC 3;SG ZPCA-De Pinquin 1;Aqualaren (Zuidlaren );,  ;
6945;D1.H3;12-02-12 16:15;GZVW 2;Ritola Z & PC 3;De Watertoren (Winschoten );,  ;
6951;D1.H3;19-02-12 18:30;Ritola Z & PC 3;FZC`54 1;Aqualaren (Zuidlaren );,  ;
6955;D1.H3;26-02-12 15:15;ZPC Stadskanaal 2;Ritola Z & PC 3;zwembad pagecentrum (Stadskanaal );,  ;
6962;D1.H3;11-03-12 19:15;Ritola Z & PC 3;SG Middelsé-Skelp 2;Aqualaren (Zuidlaren );,  ;
6965;D1.H3;17-03-12 18:15;WSG DraGor 3;Ritola Z & PC 3;De Welle (Drachten );,  ;
6974;D1.H3;25-03-12 19:15;Ritola Z & PC 3;WSG DraGor 4;Aqualaren (Zuidlaren );,  ;
6977;D1.H3;31-03-12 19:30;ZPC Bolsward 2;Ritola Z & PC 3;Vitalo sportfondsenbad (Bolsward );,  ;
6986;D1.H3;15-04-12 18:30;Ritola Z & PC 3;Moby Dick 1;Aqualaren (Zuidlaren );,  ;
6989;D1.H3;21-04-12 18:40;De Granaet 2;Ritola Z & PC 3;Tolhuisbad (Dokkum );,  ;
6997;D1.H3;29-04-12 17:00;ZEPTA 1;Ritola Z & PC 3;De Watertoren (Winschoten );,  ;
