Wedstrijdnr;Afdeling;Aanvang;Thuis;Uit;Zwembad;Scheidsrechters
10705;D1.BG1A;30-09-2012 18:30;Ritola Z & PC BG 1;SGHA BJ 1;Aqualaren (Zuidlaren );H.G. Bekkers  L. Bunt 
10708;D1.BG1A;06-10-2012 18:15;De Kikker BJ 1 JOPP;Ritola Z & PC BG 1;Aquarenabad (Emmen );
10712;D1.BG1A;14-10-2012 18:30;Ritola Z & PC BG 1;SG Najade - ZZG BG 1;Aqualaren (Zuidlaren );
10715;D1.BG1A;20-10-2012 18:30;Ritola Z & PC BG 1;De Kikker BJ 1 JOPP;Aqualaren (Zuidlaren );
10718;D1.BG1A;04-11-2012 18:30;Ritola Z & PC BG 1;ZPC Stadskanaal BG 1;Aqualaren (Zuidlaren );
10719;D1.BG1A;10-11-2012 15:00;TriVia BG 1;Ritola Z & PC BG 1;Helperbad (Groningen );
10726;D1.BG1A;01-12-2012 17:00;SG Middelsé-Skelp BG 1;Ritola Z & PC BG 1;It Gryn (Stiens );
10731;D1.BG1A;16-12-2012 13:00;SG Najade - ZZG BG 1;Ritola Z & PC BG 1;De Smelte (Smilde );
10734;D1.BG1A;20-01-2013 18:30;Ritola Z & PC BG 1;ZPC Bolsward BG 1;Aqualaren (Zuidlaren );
10738;D1.BG1A;02-02-2013 16:15;SGHA BJ 1;Ritola Z & PC BG 1;Sportstad Heerenveen (Heerenveen );
10743;D1.BG1A;03-03-2013 18:30;Ritola Z & PC BG 1;SG Middelsé-Skelp BG 1;Aqualaren (Zuidlaren );
10745;D1.BG1A;10-03-2013 13:45;ZPC Stadskanaal BG 1;Ritola Z & PC BG 1;Zwembad Pagecentrum (Stadskanaal );
10748;D1.BG1A;17-03-2013 18:30;Ritola Z & PC BG 1;TriVia BG 1;Aqualaren (Zuidlaren );
10756;D1.BG1A;20-04-2013 18:00;ZPC Bolsward BG 1;Ritola Z & PC BG 1;Optisport Vitaloo (Bolsward );
