Nr;Afd.;Aanvang;Thuis;Uit;Zwembad
10148;D1.D3;30-09-2012 19:15;Ritola Z & PC 1;SGHA 3;Aqualaren (Zuidlaren );L. Bunt 
10149;D1.D3;06-10-2012 17:15;De Walvisch 2;Ritola Z & PC 1;De Parrel (Groningen );
10153;D1.D3;14-10-2012 19:15;Ritola Z & PC 1;ZPC bikkel Hoogeveen 1;Aqualaren (Zuidlaren );
10161;D1.D3;04-11-2012 21:00;Ritola Z & PC 1;Bubble 1;Aqualaren (Zuidlaren );
10169;D1.D3;25-11-2012 20:30;Ritola Z & PC 1;Aqua`68 1;Aqualaren (Zuidlaren );
10172;D1.D3;15-12-2012 18:00;WSG DraGor 2;Ritola Z & PC 1;De Welle (Drachten );
10177;D1.D3;20-01-2013 14:45;ZEPTA 1;Ritola Z & PC 1;De Watertoren (Winschoten );
10179;D1.D3;26-01-2013 16:15;Neptunia`24 2;Ritola Z & PC 1;It Rak (Sneek );
10184;D1.D3;03-02-2013 18:45;SGHA 3;Ritola Z & PC 1;De Stiennen Flier (Joure );
10188;D1.D3;17-02-2013 20:15;Ritola Z & PC 1;De Walvisch 2;Aqualaren (Zuidlaren );
10189;D1.D3;23-02-2013 15:15;ZPC bikkel Hoogeveen 1;Ritola Z & PC 1;De Dolfijn (Hoogeveen );
10197;D1.D3;10-03-2013 18:00;Bubble 1;Ritola Z & PC 1;Tropiqua zwemparadijs (Veendam );
10203;D1.D3;24-03-2013 18:30;Ritola Z & PC 1;WSG DraGor 2;Aqualaren (Zuidlaren );
10207;D1.D3;06-04-2013 19:00;Aqua`68 1;Ritola Z & PC 1;De Bonte Wever - Assen (Assen );
10210;D1.D3;14-04-2013 19:30;Ritola Z & PC 1;ZEPTA 1;Aqualaren (Zuidlaren );
10216;D1.D3;28-04-2013 19:30;Ritola Z & PC 1;Neptunia`24 2;Aqualaren (Zuidlaren );
