Nr;Afd.;Aanvang;Thuis;Uit;Zwembad
10220;D1.H1;06-10-2012 20:15;De Kikker 2 JOPP;Ritola Z & PC 1;Aquarenabad (Emmen );
10226;D1.H1;14-10-2012 20:45;Ritola Z & PC 1;GZVW 1;Aqualaren (Zuidlaren );
10229;D1.H1;27-10-2012 19:15;De Plons 1;Ritola Z & PC 1;de Swaneburg (Coevorden );
10235;D1.H1;04-11-2012 19:15;Ritola Z & PC 1;ZPC Stadskanaal 1;Aqualaren (Zuidlaren );
10236;D1.H1;10-11-2012 17:15;TriVia 3;Ritola Z & PC 1;Helperbad (Groningen );
10240;D1.H1;17-11-2012 16:30;Wetterwille 1;Ritola Z & PC 1;Wetterstins (Bergum );
10245;D1.H1;25-11-2012 18:30;Ritola Z & PC 1;De Granaet 1;Aqualaren (Zuidlaren );
10251;D1.H1;20-01-2013 19:15;Ritola Z & PC 1;MZ&PC De Reest 3;Aqualaren (Zuidlaren );
10260;D1.H1;17-02-2013 18:30;Ritola Z & PC 1;De Kikker 2 JOPP;Aqualaren (Zuidlaren );
10263;D1.H1;24-02-2013 17:00;GZVW 1;Ritola Z & PC 1;De Watertoren (Winschoten );
10266;D1.H1;03-03-2013 19:15;Ritola Z & PC 1;De Plons 1;Aqualaren (Zuidlaren );
10269;D1.H1;10-03-2013 16:15;ZPC Stadskanaal 1;Ritola Z & PC 1;Zwembad Pagecentrum (Stadskanaal );
10274;D1.H1;17-03-2013 20:00;Ritola Z & PC 1;TriVia 3;Aqualaren (Zuidlaren );
10276;D1.H1;24-03-2013 19:15;Ritola Z & PC 1;Wetterwille 1;Aqualaren (Zuidlaren );
10279;D1.H1;06-04-2013 19:30;De Granaet 1;Ritola Z & PC 1;Tolhuisbad (Dokkum );
10284;D1.H1;20-04-2013 18:30;MZ&PC De Reest 3;Ritola Z & PC 1;Bad Hesselingen (Meppel );
