Nr;Afd.;Aanvang;Thuis;Uit;Zwembad
11049;D1.DG2B;30-09-2012 13:30;De Spatters DG 1;Ritola Z & PC DG 1;De Peppel (Beilen );
11051;D1.DG2B;04-11-2012 00:00;SG Najade - ZZG DG 1;Ritola Z & PC DG 1;Zwembad Pagecentrum (Stadskanaal );
11052;D1.DG2B;04-11-2012 00:00;Ritola Z & PC DG 1;ZPC Stadskanaal DG 1;Zwembad Pagecentrum (Stadskanaal );
11053;D1.DG2B;04-11-2012 00:00;Aqua`68 DG 1;Ritola Z & PC DG 1;Zwembad Pagecentrum (Stadskanaal );
11057;D1.DG2B;22-12-2012 00:00;Ritola Z & PC DG 1;SG Najade - ZZG DG 1;De Bonte Wever - Assen (Assen );
11058;D1.DG2B;22-12-2012 00:00;Ritola Z & PC DG 1;Aqua`68 DG 1;De Bonte Wever - Assen (Assen );
11059;D1.DG2B;22-12-2012 01:00;ZPC Stadskanaal DG 1;Ritola Z & PC DG 1;De Bonte Wever - Assen (Assen );
11063;D1.DG2B;27-01-2013 13:00;Ritola Z & PC DG 1;De Spatters DG 1;De Smelte (Smilde );
11070;D1.DG2B;03-03-2013 15:30;De Spatters DG 1;Ritola Z & PC DG 1;De Peppel (Beilen );
11071;D1.DG2B;23-03-2013 00:00;SG Najade - ZZG DG 1;Ritola Z & PC DG 1;De Bonte Wever - Assen (Assen );
11072;D1.DG2B;23-03-2013 00:00;Ritola Z & PC DG 1;ZPC Stadskanaal DG 1;De Bonte Wever - Assen (Assen );
11075;D1.DG2B;23-03-2013 15:45;Aqua`68 DG 1;Ritola Z & PC DG 1;De Bonte Wever - Assen (Assen );
